mandarin;character;english;pronunciation;audio
八;八;Eight;[bat33];[sound:八.mp3]
杯子;杯;Cup;[bɔi335];[sound:杯.mp3]
北京;北京;Beijing, Peking;[bak55 gɛɪn33];[sound:北京.mp3]
不;唔;Not;[m22];[sound:唔.mp3]
菜;菜;(;[tɔi33];[sound:菜.mp3]
茶;茶;Tea;[tsa22];[sound:茶.mp3]
吃;吃;"To eat; to have (a meal); to smoke (cigarette); to capture (chess pieces)";[hiak33];[sound:吃.mp3]
打电话;打电话;To make a phone call;[a55 ɛɪn32 va325];[sound:打电话.mp3]
大;大;Big;[ai32];[sound:大.mp3]
的;偌;You (;[niak21];[sound:偌.mp3]
点;点;"To dip, to count, to light; a dot";[iam55];[sound:点.mp3]
电脑;电脑;Computer;[ɛɪn32 nɔu55];[sound:电脑.mp3]
电视;电视;Television;[ɛɪn32 si32];[sound:电视.mp3]
电影;映画;Movie;[yɛɪn55 va325];[sound:映画.mp3]
东西;嘢;Thing, things, stuff, goods;[yia33];[sound:嘢.mp3]
都;都;"Capital; all; [Grammar] for emphasis in the form of 'Subj";[u33];[sound:都.mp3]
读;读;To read aloud;[ək32];[sound:读.mp3]
对不起;对唔住;'Sorry', 'Please excuse me', 'Pardon me';[ui33 m22 dzi32];[sound:对唔住.mp3]
多;几;How;[gi55];[sound:几.mp3]
多少;几多;How many;[gi55 ?ɔ335];[sound:几多.mp3]
儿子;仔;Son;[dɔi55];[sound:仔.mp3]
二;二;Two;[ŋi32];[sound:二.mp3]
飞机;飞机;Airplane;[fi33 gi33];[sound:飞机.mp3]
高兴;欢喜;Glad, happy;[fɔn33 hi55];[sound:欢喜.mp3]
个;个;[Unit/Classifier] piece;[gɔi33];[sound:个.mp3]
工作;做工;To work;[du33 gəŋ33];[sound:做工.mp3]
狗;狗;Dog;[gəu55];[sound:狗.mp3]
好;好;Good;[hɔu55];[sound:好.mp3]
号;号;(ordinal) number;[hɔu32];[sound:号.mp3]
喝;饮;To drink;[ŋim55];[sound:饮.mp3]
和;咬;To bite;[ŋɔu55];[sound:咬.mp3]
很;好;Very;[hɔu55];[sound:好.mp3]
后面;背脊;Back;[bɔi33 diak21];[sound:背脊.mp3]
回;返;To come back, to return;[fan33];[sound:返.mp3]
会;晓;Understand;[hiau55];[sound:晓.mp3]
几;几;Several, multiple;[gi55];[sound:几.mp3]
家;企;Home;[ki55];[sound:企.mp3]
叫;使;To command;[sɔi55];[sound:使.mp3]
今天;今日;Today;[gim33 ŋit21];[sound:今日.mp3]
九;九;Nine;[giu55];[sound:九.mp3]
